Specimen,Site,Tooth,Sample ID,Dist,d13C,d18O,C-error,O-error
Opp_OC1,OPP,M2,OPP_OC1_M2.1,3.4,-9.404,-2.986,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.2,4.1,-9.05,-3.082,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.3,6.4,-9.56,-2.81,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.4,7.8,-9.766,-2.887,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.5,10.1,-11.006,-3.129,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.6,12.7,-11.709,-3.578,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.7,15,-12.011,-5.162,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.8,16.4,-12.425,-6.906,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.9,19,-12.467,-7.598,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.10,20.2,-12.434,-7.664,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.11,21.8,-12.243,-7.574,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.12,23.8,-11.92,-6.71,0.025,0.094
Opp_OC1,OPP,M2,OPP_OC1_M2.13,25.6,-11.55,-5.18,0.025,0.094
Opp_OC1,OPP,M3,OPP_OC1_M3.1,3.8,-9.955,-1.607,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.2,4.7,-10.549,-0.981,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.3,6.8,-10.825,-0.777,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.4,8.2,-11.666,-1.534,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.5,10.6,-12.255,-3.227,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.6,12.4,-12.946,-5.584,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.7,15,-12.902,-6.258,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.8,15.6,-12.746,-6.716,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.9,18,-12.504,-6.077,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.10,19.4,-11.661,-5.43,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.11,21.5,-10.756,-4.361,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.12,23.9,-10.05,-3.367,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.13,25.1,-9.333,-2.832,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.14,27,-8.667,-2.271,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.15,29.1,-8.465,-2.257,0.029,0.090
Opp_OC1,OPP,M3,OPP_OC1_M3.16,32.1,-8.338,-2.433,0.029,0.090
Opp_OC2,OPP,M2,OPP_OC2_M2.1,2.8,-8.042,-4.42,0.044,0.075
Opp_OC2,OPP,M2,OPP_OC2_M2.2,4,-6.218,-2.777,0.044,0.075
Opp_OC2,OPP,M2,OPP_OC2_M2.3,6.5,-6.271,-1.636,0.044,0.075
Opp_OC2,OPP,M2,OPP_OC2_M2.4,9.3,-8.048,-1.788,0.044,0.075
Opp_OC2,OPP,M2,OPP_OC2_M2.5,10.9,-9.491,-2.274,0.044,0.075
Opp_OC2,OPP,M2,OPP_OC2_M2.6,12.9,-10.712,-2.247,0.044,0.075
Opp_OC2,OPP,M2,OPP_OC2_M2.7,14.8,-11.252,-1.958,0.044,0.075
Opp_OC2,OPP,M2,OPP_OC2_M2.8,18.1,-11.231,-3.706,0.044,0.075
Opp_OC2,OPP,M2,OPP_OC2_M2.9,20.2,-11,-4.309,0.044,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.1,3,-8.604,-5.173,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.2,4.8,-6.83,-3.008,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.3,5.8,-7.253,-2.802,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.4,7.2,-8.457,-2.451,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.5,9,-9.752,-3.442,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.6,11.8,-10.644,-3.793,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.7,13.1,-11.256,-4.291,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.8,14.8,-11.529,-5.587,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.9,16.2,-11.834,-6.36,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.10,17.5,-11.98,-7.543,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.11,20.8,-12.253,-8.019,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.12,21.4,-12.038,-8.476,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.13,23.5,-11.974,-8.177,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.14,25.3,-11.206,-7.641,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.15,26.9,-10.164,-6.436,0.043,0.075
Opp_OC2,OPP,M3,OPP_OC2_M3.16,28.4,-9.294,-5.189,0.043,0.075
Opp_OC3,OPP,M2,OPP_OC3_M2.1,3.9,-11.706,-5.055,0.043,0.075
Opp_OC3,OPP,M2,OPP_OC3_M2.2,6.1,-10.896,-4.89,0.043,0.075
Opp_OC3,OPP,M2,OPP_OC3_M2.3,7.4,-10.181,-4.297,0.043,0.075
Opp_OC3,OPP,M2,OPP_OC3_M2.4,8.9,-10.131,-3.656,0.043,0.075
Opp_OC3,OPP,M2,OPP_OC3_M2.5,10.6,-10.437,-3.303,0.043,0.075
Opp_OC3,OPP,M2,OPP_OC3_M2.6,13.8,-11.65,-3.46,0.043,0.075
Opp_OC3,OPP,M2,OPP_OC3_M2.7,14.4,-12.105,-4.158,0.043,0.075
Opp_OC3,OPP,M3,OPP_OC3_M3.1,3,-12.412,-5.944,0.015,0.098
Opp_OC3,OPP,M3,OPP_OC3_M3.2,4.6,-11.444,-5.306,0.015,0.098
Opp_OC3,OPP,M3,OPP_OC3_M3.3,6.8,-10.404,-4.415,0.015,0.098
Opp_OC3,OPP,M3,OPP_OC3_M3.4,7.9,-9.64,-2.775,0.015,0.098
Opp_OC3,OPP,M3,OPP_OC3_M3.5,10.1,-9.878,-2.233,0.015,0.098
Opp_OC3,OPP,M3,OPP_OC3_M3.6,11.6,-10.726,-1.849,0.015,0.098
Opp_OC3,OPP,M3,OPP_OC3_M3.7,12.5,-11.693,-1.872,0.015,0.098
Opp_OC3,OPP,M3,OPP_OC3_M3.8,14.8,-12.843,-2.319,0.015,0.098
Opp_OC3,OPP,M3,OPP_OC3_M3.9,17.5,-13.347,-3.058,0.015,0.098
Opp_OC3,OPP,M3,OPP_OC3_M3.10,19.2,-13.522,-3.508,0.015,0.098
Opp_OC3,OPP,M3,OPP_OC3_M3.11,20.8,-13.569,-4.483,0.015,0.098
Opp_OC3,OPP,M3,OPP_OC3_M3.12,22,-13.384,-4.905,0.015,0.098
Opp_OC4,OPP,M2,OPP_OC4_M2.1,2.9,-7.506,-1.376,0.060,0.052
Opp_OC4,OPP,M2,OPP_OC4_M2.2,4.9,-8.479,-0.962,0.060,0.052
Opp_OC4,OPP,M2,OPP_OC4_M2.3,6.8,-9.597,-0.828,0.060,0.052
Opp_OC4,OPP,M2,OPP_OC4_M2.4,7.7,-10.328,-0.764,0.060,0.052
Opp_OC4,OPP,M2,OPP_OC4_M2.5,9.8,-10.921,-0.98,0.060,0.052
Opp_OC4,OPP,M2,OPP_OC4_M2.6,12.4,-11.466,-1.504,0.060,0.052
Opp_OC4,OPP,M2,OPP_OC4_M2.7,13.8,-11.887,-2.308,0.060,0.052
Opp_OC4,OPP,M2,OPP_OC4_M2.8,14.9,-12.184,-3.131,0.060,0.052
Opp_OC4,OPP,M2,OPP_OC4_M2.9,16.8,-12.395,-4.438,0.060,0.052
Opp_OC4,OPP,M2,OPP_OC4_M2.10,17.3,-12.303,-5.191,0.060,0.052
Opp_OC4,OPP,M2,OPP_OC4_M2.11,19.4,-12.671,-5.899,0.060,0.052
Opp_OC4,OPP,M2,OPP_OC4_M2.12,20.4,-12.717,-5.858,0.060,0.052
Opp_OC4,OPP,M3,OPP_OC4_M3.1,2.5,-7.334,-1.928,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.2,3.8,-7.727,-1.897,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.3,5,-8.238,-1.859,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.4,7.2,-9.218,-1.868,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.5,9,-11.004,-3.178,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.6,10,-11.445,-4.147,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.7,11.3,-11.766,-5.452,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.8,13.1,-11.541,-6.09,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.9,14.8,-11.582,-6.415,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.10,16.7,-11.543,-6.8,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.11,18.3,-10.941,-6.047,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.12,20.3,-10.248,-5.305,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.13,21.9,-8.826,-4.434,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.14,24.5,-7.747,-3.011,0.231,0.290
Opp_OC4,OPP,M3,OPP_OC4_M3.15,25.8,-6.839,-2.094,0.231,0.290
Opp_OC5,OPP,M2,OPP_OC5_M2.1,2.5,-9.271,-4.48,0.009,0.022
Opp_OC5,OPP,M2,OPP_OC5_M2.2,4.1,-6.254,-2.18,0.009,0.022
Opp_OC5,OPP,M2,OPP_OC5_M2.3,4.9,-5.053,-1.335,0.009,0.022
Opp_OC5,OPP,M2,OPP_OC5_M2.4,5.6,-5.189,-1.46,0.009,0.022
Opp_OC5,OPP,M2,OPP_OC5_M2.5,8.4,-6.36,-1.279,0.009,0.022
Opp_OC5,OPP,M2,OPP_OC5_M2.6,9.9,-7.699,-1.275,0.009,0.022
Opp_OC5,OPP,M2,OPP_OC5_M2.7,11.5,-9.125,-1.466,0.009,0.022
Opp_OC5,OPP,M2,OPP_OC5_M2.8,13.2,-10.351,-1.775,0.009,0.022
Opp_OC5,OPP,M2,OPP_OC5_M2.9,15.6,-11.251,-3.125,0.009,0.022
Opp_OC5,OPP,M2,OPP_OC5_M2.10,17.9,-11.542,-4.819,0.009,0.022
Opp_OC5,OPP,M3,OPP_OC5_M3.1,2.1,-6.48,-2.515,0.050,0.081
Opp_OC5,OPP,M3,OPP_OC5_M3.2,4.7,-4.599,-0.762,0.050,0.081
Opp_OC5,OPP,M3,OPP_OC5_M3.3,6.1,-4.582,-0.587,0.050,0.081
Opp_OC5,OPP,M3,OPP_OC5_M3.4,8.2,-6.707,-0.233,0.050,0.081
Opp_OC5,OPP,M3,OPP_OC5_M3.5,10.2,-9.507,-0.1,0.050,0.081
Opp_OC5,OPP,M3,OPP_OC5_M3.6,12.7,-10.773,-1.362,0.050,0.081
Opp_OC5,OPP,M3,OPP_OC5_M3.7,14.2,-11.234,-3.012,0.050,0.081
Opp_OC5,OPP,M3,OPP_OC5_M3.8,16.2,-11.316,-4.646,0.050,0.081
Opp_OC5,OPP,M3,OPP_OC5_M3.9,18.2,-11.177,-6.316,0.050,0.081
Opp_OC5,OPP,M3,OPP_OC5_M3.10,20.1,-10.986,-6.96,0.050,0.081
Opp_OC5,OPP,M3,OPP_OC5_M3.11,21.8,-9.95,-6.426,0.050,0.081
Opp_OC5,OPP,M3,OPP_OC5_M3.12,24.8,-9.217,-5.464,0.050,0.081
PVG_OC1,PVG,M2,PVG_OC1_M2.1,2.8,-10.229,-5.229,0.024727273,0.031181818
PVG_OC1,PVG,M2,PVG_OC1_M2.2,4.6,-10.197,-4.816,0.024727273,0.031181818
PVG_OC1,PVG,M2,PVG_OC1_M2.3,5.8,-10.406,-4.419,0.024727273,0.031181818
PVG_OC1,PVG,M2,PVG_OC1_M2.4,7,-10.521,-4.395,0.024727273,0.031181818
PVG_OC1,PVG,M2,PVG_OC1_M2.5,8.8,-9.972,-4.0555,0.024727273,0.031181818
PVG_OC1,PVG,M2,PVG_OC1_M2.6,10.1,-9.939,-4.696,0.024727273,0.031181818
PVG_OC1,PVG,M2,PVG_OC1_M2.7,11.8,-9.866,-4.446,0.024727273,0.031181818
PVG_OC1,PVG,M2,PVG_OC1_M2.8,13.8,-10.2595,-5.0115,0.024727273,0.031181818
PVG_OC1,PVG,M3,PVG_OC1M3.1,2.1,-9.9,-5.332,0.017,0.033363636
PVG_OC1,PVG,M3,PVG_OC1M3.2,4,-9.775,-4.458,0.017,0.033363636
PVG_OC1,PVG,M3,PVG_OC1M3.3,5.1,-10.194,-4.67,0.017,0.033363636
PVG_OC1,PVG,M3,PVG_OC1M3.4,7.1,-10.229,-4.087,0.017,0.033363636
PVG_OC1,PVG,M3,PVG_OC1M3.5,9.4,-10.311,-4.532,0.017,0.033363636
PVG_OC1,PVG,M3,PVG_OC1M3.6,11.4,-10.441,-3.889,0.017,0.033363636
PVG_OC1,PVG,M3,PVG_OC1M3.7,13.4,-10.927,-4.804,0.017,0.033363636
PVG_OC1,PVG,M3,PVG_OC1M3.8,15.6,-10.7245,-5.2385,0.017,0.033363636
PVG_OC1,PVG,M3,PVG_OC1M3.9,18,-10.064,-5.54,0.017,0.033363636
PVG_OC2,PVG,M2,PVG_OC2_M2.1,3,-10.229,-4.807,0.019692308,0.031769231
PVG_OC2,PVG,M2,PVG_OC2_M2.2,4.4,-10.197,-4.551,0.019692308,0.031769231
PVG_OC2,PVG,M2,PVG_OC2_M2.3,6.4,-10.406,-4.065,0.019692308,0.031769231
PVG_OC2,PVG,M2,PVG_OC2_M2.4,7.9,-10.521,-4.338,0.019692308,0.031769231
PVG_OC2,PVG,M2,PVG_OC2_M2.5,9.8,-11.823,-4.2605,0.019692308,0.031769231
PVG_OC2,PVG,M2,PVG_OC2_M2.6,11.7,-11.9865,-4.756,0.019692308,0.031769231
PVG_OC2,PVG,M2,PVG_OC2_M2.7,13.6,-12.522,-4.675,0.019692308,0.031769231
PVG_OC2,PVG,M2,PVG_OC2_M2.8,15.3,-12.112,-6.2045,0.019692308,0.031769231
PVG_OC2,PVG,M2,PVG_OC2_M2.9,17,-10.8295,-6.2,0.019692308,0.031769231
PVG_OC2,PVG,M3,PVG_OC2_M3.1,3.4,-12.1595,-7.844,0.019916667,0.024833333
PVG_OC2,PVG,M3,PVG_OC2_M3.2,5,-10.903,-6.344,0.019916667,0.024833333
PVG_OC2,PVG,M3,PVG_OC2_M3.3,7.1,-10.255,-5.243,0.019916667,0.024833333
PVG_OC2,PVG,M3,PVG_OC2_M3.4,9,-10.907,-4.69,0.019916667,0.024833333
PVG_OC2,PVG,M3,PVG_OC2_M3.5,11.7,-11.304,-4.846,0.019916667,0.024833333
PVG_OC2,PVG,M3,PVG_OC2_M3.6,14.1,-11.796,-4.54,0.019916667,0.024833333
PVG_OC2,PVG,M3,PVG_OC2_M3.7,17.1,-12.179,-5.29,0.019916667,0.024833333
PVG_OC2,PVG,M3,PVG_OC2_M3.8,20.5,-12.538,-6.67,0.019916667,0.024833333
PVG_OC2,PVG,M3,PVG_OC2_M3.9,23.5,-12.246,-7.524,0.019916667,0.024833333
PVG_OC3,PVG,M2,PVG_OC3_M2.1,0.5,-10.22,-5.752,0.0187,0.03
PVG_OC3,PVG,M2,PVG_OC3_M2.2,2.2,-10.168,-5.896,0.0187,0.03
PVG_OC3,PVG,M2,PVG_OC3_M2.3,3.3,-10.4385,-4.073,0.0187,0.03
PVG_OC3,PVG,M2,PVG_OC3_M2.4,5,-10.104,-4.299,0.0187,0.03
PVG_OC3,PVG,M2,PVG_OC3_M2.5,6,-9.813,-3.966,0.0187,0.03
PVG_OC3,PVG,M2,PVG_OC3_M2.6,7.4,-10.3445,-3.828,0.0187,0.03
PVG_OC3,PVG,M3,PVG_OC3_M3.1,2,-9.615,-4.853,0.0187,0.03
PVG_OC3,PVG,M3,PVG_OC3_M3.2,3.8,-9.02,-4.292,0.0187,0.03
PVG_OC3,PVG,M3,PVG_OC3_M3.3,5.5,-9.577,-4.297,0.0187,0.03
PVG_OC3,PVG,M3,PVG_OC3_M3.4,7.2,-9.064,-4.12,0.0187,0.03
PVG_OC3,PVG,M3,PVG_OC3_M3.5,8.7,-9.151,-3.423,0.0187,0.03
PVG_OC3,PVG,M3,PVG_OC3_M3.6,10.3,-10.152,-4.465,0.0187,0.03
PVG_OC3,PVG,M3,PVG_OC3_M3.7,11.5,-10.739,-5.776,0.0187,0.03
PVG_OC3,PVG,M3,PVG_OC3_M3.8,13.6,-10.331,-6.0635,0.0187,0.03
PVG_OC4,PVG,M2,PVG_OC4_M2.1,1.6,-11.4085,-4.943,0.020888889,0.040555556
PVG_OC4,PVG,M2,PVG_OC4_M2.2,3.6,-10.58,-4.22,0.020888889,0.040555556
PVG_OC4,PVG,M2,PVG_OC4_M2.3,5,-10.908,-3.746,0.020888889,0.040555556
PVG_OC4,PVG,M2,PVG_OC4_M2.4,6.6,-11.264,-4.227,0.020888889,0.040555556
PVG_OC4,PVG,M2,PVG_OC4_M2.5,8,-11.488,-4.349,0.020888889,0.040555556
PVG_OC4,PVG,M2,PVG_OC4_M2.6,9.6,-11.692,-4.293,0.020888889,0.040555556
PVG_OC4,PVG,M3,PVG_OC4_M3.1,2.1,-10.588,-4.35,0.020857143,0.026857143
PVG_OC4,PVG,M3,PVG_OC4_M3.2,3.6,-11.452,-4.55,0.020857143,0.026857143
PVG_OC4,PVG,M3,PVG_OC4_M3.3,4.9,-11.63,-4.54,0.020857143,0.026857143
PVG_OC4,PVG,M3,PVG_OC4_M3.4,6.8,-12.306,-4.724,0.020857143,0.026857143
PVG_OC4,PVG,M3,PVG_OC4_M3.5,8.5,-13.02,-5.979,0.020857143,0.026857143
PVG_OC4,PVG,M3,PVG_OC4_M3.6,10,-13.184,-8.205,0.020857143,0.026857143
PVG_OC4,PVG,M3,PVG_OC4_M3.7,11.4,-13.157,-8.242,0.020857143,0.026857143
PVG_OC4,PVG,M3,PVG_OC4_M3.8,12.2,-13.232,-8.439,0.020857143,0.026857143
PVG_OC4,PVG,M3,PVG_OC4_M3.9,13.9,-13.0055,-9.2815,0.020857143,0.026857143
PVG_OC5,PVG,M2,PVG_OC5_M2.1,2,-10.936,-4.389,0.020857143,0.026857143
PVG_OC5,PVG,M2,PVG_OC5_M2.2,2.7,-11.3315,-3.749,0.016333333,0.029833333
PVG_OC5,PVG,M2,PVG_OC5_M2.3,4.2,-11.732,-4.083,0.016333333,0.029833333
PVG_OC5,PVG,M2,PVG_OC5_M2.4,5.9,-11.859,-4.285,0.016333333,0.029833333
PVG_OC5,PVG,M2,PVG_OC5_M2.5,8.2,-12.345,-4.925,0.016333333,0.029833333
PVG_OC5,PVG,M2,PVG_OC5_M2.6,9.8,-12.207,-3.979,0.016333333,0.029833333
PVG_OC5,PVG,M2,PVG_OC5_M2.7,11.8,-12.198,-4.664,0.016333333,0.029833333
PVG_OC5,PVG,M2,PVG_OC5_M2.8,14,-11.901,-5.122,0.016333333,0.029833333
PVG_OC5,PVG,M2,PVG_OC5_M2.9,15.3,-11.437,-5.5,0.016333333,0.029833333
PVG_OC5,PVG,M3,PVG_OC5_M3.1,2.2,-10.76,-5.949,0.020083333,0.030416667
PVG_OC5,PVG,M3,PVG_OC5_M3.2,4.1,-10.952,-5.803,0.020083333,0.030416667
PVG_OC5,PVG,M3,PVG_OC5_M3.3,6.2,-11.638,-5.815,0.020083333,0.030416667
PVG_OC5,PVG,M3,PVG_OC5_M3.4,8.7,-11.986,-5.0915,0.020083333,0.030416667
PVG_OC5,PVG,M3,PVG_OC5_M3.5,10.8,-12.645,-7.498,0.020083333,0.030416667
PVG_OC5,PVG,M3,PVG_OC5_M3.6,13.4,-12.484,-7.856,0.020083333,0.030416667
PVG_OC5,PVG,M3,PVG_OC5_M3.7,15.9,-12.24,-6.918,0.020083333,0.030416667
PVG_OC5,PVG,M3,PVG_OC5_M3.8,18.4,-11.966,-6.484,0.020083333,0.030416667
PVG_OC5,PVG,M3,PVG_OC5_M3.9,20.9,-11.34,-4.917,0.020083333,0.030416667
