Identifier;Species;d15N;d13C
4935;Bos;7.9;-20.25
4930;Bos;7.9;-20.11
4932;Bos;6.5;-20.43
4934;Bos;12.73;-19.11
4939;Bos;6.46;-20.39
4933;Bos;7.97;-20.38
4937;Bos;12.32;-20.72
4931;Bos;6.34;-20.41
4936;Bos;10.25;-20.37
4938;Bos;10.87;-20.25
4909;Bos;8.16;-20.44
4925;Bos;6.25;-20.91
4902;Bos;7.53;-20.58
4903;Bos;12.35;-20.23
4920;Bos;11.24;-19.91
4905;Bos;10.06;-20.11
4912;Capra;7.63;-20.66
4901;Capra;6.7;-20.91
4900;Capra;11.94;-20.34
4915;Capra;7.44;-20.68
4907;Capra;7.34;-20.77
4916;Capra;6.44;-19.89
4917;Capra;6.28;-20.07
4921;Capra;7.56;-20.27
4914;Ovis;7.66;-20.63
4910;Ovis;11.24;-20.45
4899;Ovis;8.2;-20.55
4923;Ovis;7.46;-20.63
4904;Ovis;8.37;-20.71
4911;Ovis;7.17;-20.19
4941;Ovis;8.78;-20.68
4919;Ovis;8.65;-20.79
4922;Ovis;5.62;-19.76
4927;Ovis;6.57;-20.47
4906;Ovis;6.91;-19.94
4908;Ovis;8.68;-20.68
4918;Ovis;9;-20.18
4913;Ovis;7.55;-20.08
4942;Sus;13.15;-19.71
4929;Sus;11.35;-20.4
4924;Sus;11.69;-19.78
4944;Sus;11.9;-19.63
4943;Sus;12.39;-20.03
4926;Sus;10.79;-20.14
4928;Sus;12.08;-20.36
